Stage,Status,Description,Keywords,Backend Logic,Frontend Logic
Task Creation,starting,POST /api/download creates task_id and spawns daemon thread,start create task thread spawn daemon,Generate UUID task_id. Init progress_store entry. Start _download_worker thread,"POST /api/download → receive task_id → open EventSource(/api/progress/{taskId})"
Video Download,downloading,yt-dlp downloads video with progress_hooks callback,download video progress hook percent speed eta,progress_hook updates progress_store with percent/speed/eta from yt-dlp callback dict,"Update progressBar.style.width, progressPercent, progressSpeed, progressEta"
Audio Extraction,processing,FFmpegExtractAudio postprocessor converts to MP3,audio mp3 extract process postprocessor ffmpeg,yt-dlp runs FFmpegExtractAudio postprocessor. Status changes to 'finished' then finds output file,Show 'Processing...' status with 100% bar
Video Merge,processing,FFmpeg merges separate video+audio streams to MP4,merge video audio mp4 ffmpeg format combine,yt-dlp merge_output_format: 'mp4' handles automatically via postprocessor,Show 'Processing...' / 'Merging...' status
Subtitle Burn-in,burning_subtitles,FFmpeg burns SRT subtitles into video file,subtitle burn embed srt ffmpeg filter font style,Fetch SRT via _get_cached_subtitle → write temp .srt → run ffmpeg with subtitles filter,Show 'Burning subtitles...' status. Skip if subtitle_lang='none' or audio-only
File Move,processing,Move from temp dir to user's save directory,move file temp save directory copy rename,Find output file by _TAG suffix → handle duplicate names → shutil.move to save_dir,Still showing 'Processing...' (no separate status)
Complete,done,Download finished and file saved,done complete finish save filepath filename size,Set status='done' with filepath/filename/file_size in progress_store. Clean temp dir,progressBar.classList.add('done') → green. Show filename. addToHistory(). Enable download button
Error,error,Download failed at any stage,error fail exception timeout crash,Catch all exceptions → set status='error' with error message in progress_store,Show error message in progressStatus. Enable download button. No history entry
SSE Streaming,N/A,Server-Sent Events deliver progress to frontend,sse event source stream poll progress realtime,"Generator yields 'data: {json}\n\n' events. Polls progress_store every 0.5s. Closes on done/error","new EventSource(url) → onmessage → parse JSON → update UI. onerror → close + re-enable button"
Progress Hook,N/A,yt-dlp callback during download,hook callback downloaded bytes total speed eta percent,Hook receives dict: status/downloaded_bytes/total_bytes/speed/eta. Calculate percent. Format speed/eta,N/A (backend only)
File Size Format,N/A,Convert bytes to human-readable,format size bytes kb mb gb human readable,Backend sends raw bytes in file_size field,formatFileSize(bytes): B→KB→MB→GB with 1 decimal
Quality Labels,N/A,Map quality codes to display labels,quality label resolution height mp4 mp3 audio video,quality_options from /api/info: [{value: '1080' label: '1080p (mp4)'} ...],qualitySelect populated from data.quality_options
