Component,Purpose,Flow,Keywords,Pitfall,Fix
subtitle_url_store,Cache subtitle URLs from /api/info,/api/info → extract_info() → filter VTT URLs → store by video_id,store cache url vtt video_id info extract,Store keyed by info.get('id') which may differ from URL-extracted video_id,Always pass video_id explicitly from frontend
subtitle_cache,Cache fetched subtitle content,"_get_cached_subtitle() → check cache → fetch if miss → store (video_id, lang, fmt)",cache content vtt srt ttl fetch hit miss,Cache key is (video_id lang fmt) tuple. TTL 30 minutes,Check TTL before returning cached content
_fetch_subtitle_url,Single HTTP fetch from cached URL,Check global cooldown → get URL from store → HTTP GET → return text or None,fetch http url vtt download request get,429 sets global cooldown. NO retries. Single attempt only,Global _subtitle_429_until cooldown (300s)
_vtt_to_srt,Convert VTT to SRT format,Skip WEBVTT headers → parse timestamps → replace . with comma → strip VTT tags → output SRT,vtt srt convert format timestamp tag strip,YouTube only provides VTT natively. SRT must be converted,Always fetch VTT first then convert. Cache both formats separately
_get_cached_subtitle,Main entry point for all subtitle access,"Check content cache → check URL store TTL → fetch VTT → convert if SRT → cache result",subtitle get cached entry point main access,Returns None if store miss or 429 cooldown or fetch failure,Accept video_id param. Check cache before fetch. Convert VTT→SRT on demand
_subtitle_429_until,Global 429 cooldown timestamp,On first 429: set timestamp to now + 300s. All fetches skip until expired,429 cooldown global rate limit timestamp skip,Per-request retries WORSEN 429 (yt-dlp issues #13831 #7123),Single attempt. 5min global cooldown. No retries
/api/subtitle endpoint,Return VTT for in-browser playback,POST {url lang video_id} → _get_cached_subtitle(vtt) → Response or 429/404,api endpoint subtitle vtt playback browser preview,Returns 429 with retry_after if in cooldown period,Frontend checks res.status === 429 and shows cooldown message
/api/download-subtitle endpoint,Save SRT file to disk,POST {url lang save_dir video_id} → _get_cached_subtitle(srt) → write file,api endpoint download subtitle srt save file disk,Returns 429 with retry_after if in cooldown period,Handle duplicate filenames with counter suffix
Frontend subtitleVttCache,Client-side blob URL cache per language,Check cache[lang] → if miss fetch from /api/subtitle → create blob URL → cache,frontend cache blob url vtt language client,Blob URLs must be revoked on new video to prevent memory leak,Clear cache and revoke all URLs when new video loaded
Frontend debounce,500ms debounce on subtitle language change,clearTimeout → setTimeout(loadSubtitleTrack 500ms),frontend debounce language change 500ms timer,Rapid language switching causes multiple API calls,Debounce prevents rapid-fire requests to /api/subtitle
Shaka Player tracks,Add VTT text track to DASH player,shakaPlayer.addTextTrackAsync(blobUrl lang 'subtitle' 'text/vtt'),shaka player track text vtt dash 1080p subtitle,Must call setTextTrackVisibility(true) after adding track,Separate code path for Shaka vs HTML5 video element
HTML5 track element,Add VTT track to standard video player,Create <track> element → set src to blob URL → append to video → mode='showing',html5 video track element vtt blob standard 720p,Must remove existing tracks before adding new one,removeSubtitleTrack() cleanup before applySubtitleTrack()
Burn-in via ffmpeg,Embed subtitles into downloaded video,Fetch SRT → write temp file → ffmpeg subtitles filter → replace output,ffmpeg burn embed subtitle download merge srt filter,"Path escaping needed: backslash→forward slash, colon→escaped colon",subtitle filter: subtitles='path':force_style='FontSize=22'
